MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_6681382047,13.22.541.9804,CLASSIC,0,1050
EUW1_6681412019,13.22.541.9804,CLASSIC,0,778
EUW1_6681445530,13.22.541.9804,ARAM,0,753
EUW1_6681464371,13.22.541.9804,ARAM,0,853
EUW1_6681718380,13.22.541.9804,ARAM,0,1226
EUW1_6688366852,13.23.544.5515,ARAM,0,1001
EUW1_6688385247,13.23.544.5515,CLASSIC,0,994
EUW1_6688490074,13.23.544.5515,CLASSIC,0,1233
EUW1_6694890554,13.23.544.5515,ARAM,0,1160
EUW1_6760672344,14.1.552.7117,ARAM,0,1718
EUW1_6796881027,14.2.556.3141,CLASSIC,0,1943
EUW1_6796951453,14.2.556.3141,CLASSIC,0,1629
EUW1_6797018353,14.2.556.3141,CLASSIC,0,1702
EUW1_6797098869,14.2.556.3141,CLASSIC,0,1932
EUW1_6808873078,14.3.558.8314,CLASSIC,0,1362
EUW1_6808917452,14.3.558.8314,CLASSIC,0,1670
EUW1_6809076929,14.3.558.8314,ARAM,0,1080
EUW1_6809111117,14.3.558.8314,ARAM,0,1241
EUW1_6809158877,14.3.558.8314,ARAM,0,1178
EUW1_6809198821,14.3.558.8314,ARAM,0,1043
EUW1_6809265760,14.3.558.8314,CLASSIC,0,955
EUW1_6809293447,14.3.558.8314,CLASSIC,0,2621
EUW1_6809388100,14.3.558.8314,CLASSIC,0,1473
EUW1_6809441383,14.3.558.8314,CLASSIC,0,1676
EUW1_6810368525,14.3.558.8314,CLASSIC,0,1962
EUW1_6810428800,14.3.558.8314,CLASSIC,0,1984
EUW1_6810915609,14.3.558.8314,CLASSIC,0,2042
EUW1_6810996833,14.3.558.8314,CLASSIC,0,113
EUW1_6811016741,14.3.558.8314,CLASSIC,0,2123
EUW1_6815339242,14.3.558.8314,CLASSIC,0,2513
EUW1_6815427462,14.3.558.8314,CLASSIC,0,1665
EUW1_6815491956,14.3.558.8314,CLASSIC,0,1565
EUW1_6829856373,14.4.562.1960,ARAM,0,1878
EUW1_6829914181,14.4.562.1960,ARAM,0,1378
EUW1_6969343062,14.11.589.9418,CLASSIC,0,1159
EUW1_6969374406,14.11.589.9418,CLASSIC,0,1640
EUW1_6970389366,14.11.589.9418,CLASSIC,0,1451
EUW1_6970431191,14.11.589.9418,CLASSIC,0,752
EUW1_6970558425,14.11.589.9418,CLASSIC,0,726
EUW1_6970591379,14.11.589.9418,CLASSIC,0,1766
EUW1_6971436516,14.12.592.6341,CLASSIC,0,1940
EUW1_6971481328,14.12.592.6341,CLASSIC,0,2316
EUW1_6971489773,14.12.592.6341,CLASSIC,0,1239
EUW1_6971518975,14.12.592.6341,CLASSIC,0,2386
EUW1_6971565099,14.12.592.6341,CLASSIC,0,2292
EUW1_6971620209,14.12.593.5894,CLASSIC,0,1763
EUW1_6971686527,14.12.593.5894,CLASSIC,0,1298
EUW1_6971722912,14.12.593.5894,CLASSIC,0,1456
EUW1_6971758933,14.12.593.5894,CLASSIC,0,1663
EUW1_6971802473,14.12.593.5894,CLASSIC,0,1477
EUW1_6971828640,14.12.593.5894,CLASSIC,0,1227
EUW1_6971845967,14.12.593.5894,CLASSIC,0,1982
EUW1_6971878553,14.12.593.5894,CLASSIC,0,2562
EUW1_6972342166,14.12.593.5894,CLASSIC,0,1653
EUW1_6972480718,14.12.593.5894,CLASSIC,0,1989
EUW1_6972520315,14.12.593.5894,CLASSIC,0,1356
EUW1_6972553428,14.12.593.5894,CLASSIC,0,1942
EUW1_6972645393,14.12.593.5894,CLASSIC,0,2487
EUW1_6972728274,14.12.593.5894,CLASSIC,0,2098
EUW1_6972789427,14.12.593.5894,CLASSIC,0,969
EUW1_6972829707,14.12.593.5894,CLASSIC,0,1201
EUW1_6972859712,14.12.593.5894,CLASSIC,0,1729
EUW1_6973760564,14.12.594.4901,CLASSIC,0,1603
EUW1_6973801674,14.12.594.4901,CLASSIC,0,1993
EUW1_6974841992,14.12.594.4901,CLASSIC,0,2038
EUW1_6974891270,14.12.594.4901,CLASSIC,0,838
EUW1_6975478833,14.12.594.4901,CLASSIC,0,2193
EUW1_6975524335,14.12.594.4901,CLASSIC,0,1454
EUW1_6975561260,14.12.594.4901,CLASSIC,0,2387
EUW1_6975615990,14.12.594.4901,CLASSIC,0,1922
EUW1_6978169082,14.12.594.4901,CLASSIC,0,2656
EUW1_6978251031,14.12.594.4901,CLASSIC,0,2067
EUW1_6979265356,14.12.594.4901,CLASSIC,0,2626
EUW1_6980301977,14.12.594.4901,CLASSIC,0,105
EUW1_6988122561,14.13.596.7996,CLASSIC,0,1772
EUW1_6988156174,14.13.596.7996,CLASSIC,0,1503
EUW1_6993966587,14.13.598.9749,CLASSIC,0,2134
EUW1_6994027662,14.13.598.9749,CLASSIC,0,1638
EUW1_6995263403,14.13.598.9749,CLASSIC,0,1459
EUW1_6995671812,14.13.598.9749,CLASSIC,0,1819
EUW1_6995709879,14.13.598.9749,CLASSIC,0,1673
EUW1_6995744560,14.13.598.9749,CLASSIC,0,1785
EUW1_6995823152,14.13.598.9749,CLASSIC,0,2586
EUW1_6995874266,14.13.598.9749,CLASSIC,0,1885
EUW1_6995931471,14.13.598.9749,CLASSIC,0,1648
EUW1_6995973545,14.13.598.9749,CLASSIC,0,1808
EUW1_6996276950,14.13.598.9749,CLASSIC,0,2129
EUW1_6996322651,14.13.598.9749,CLASSIC,0,2126
EUW1_6996750811,14.13.598.9749,CLASSIC,0,947
EUW1_6997489758,14.13.598.9749,CHERRY,0,1407
EUW1_6997502044,14.13.598.9749,CHERRY,0,1503
EUW1_6997738610,14.13.598.9749,CHERRY,0,1274
EUW1_6998058330,14.13.598.9749,CLASSIC,0,826
EUW1_6998103028,14.13.598.9749,CLASSIC,0,1849
EUW1_6998238816,14.13.598.9749,CLASSIC,0,909
EUW1_6998255942,14.13.598.9749,CLASSIC,0,631
EUW1_6998269679,14.13.598.9749,CLASSIC,0,105
EUW1_6998276701,14.13.598.9749,CLASSIC,0,1730
EUW1_6998289727,14.13.598.9749,CLASSIC,0,914
EUW1_6998351448,14.13.598.9749,CLASSIC,0,154
EUW1_6998602079,14.13.598.9749,CLASSIC,0,2345
EUW1_6998613851,14.13.598.9749,CLASSIC,0,2331
