SummonerMatchId,SummonerFk,MatchFk,ChampionFk
1,1,EUW1_7565751492,902
2,1,EUW1_7565549583,902
3,1,EUW1_7564803077,16
4,1,EUW1_7564368646,103
5,1,EUW1_7564332041,800
6,1,EUW1_7564297394,127
7,1,EUW1_7564257986,902
8,1,EUW1_7563685543,267
9,1,EUW1_7563605642,902
10,1,EUW1_7563553417,7
11,1,EUW1_7563345484,202
12,1,EUW1_7563297438,887
13,1,EUW1_7557583308,518
14,1,EUW1_7556939547,16
15,1,EUW1_7556673814,267
16,1,EUW1_7555701369,61
17,1,EUW1_7555467853,902
18,1,EUW1_7555421137,236
19,1,EUW1_7555375760,103
20,1,EUW1_7548453301,147
21,1,EUW1_7565751492,902
22,1,EUW1_7565549583,902
23,1,EUW1_7564803077,16
24,1,EUW1_7564368646,103
25,1,EUW1_7564332041,800
26,1,EUW1_7564297394,127
27,1,EUW1_7564257986,902
28,1,EUW1_7563685543,267
29,1,EUW1_7563605642,902
30,1,EUW1_7563553417,7
31,1,EUW1_7563345484,202
32,1,EUW1_7563297438,887
33,1,EUW1_7557583308,518
34,1,EUW1_7556939547,16
35,1,EUW1_7556673814,267
36,1,EUW1_7555701369,61
37,1,EUW1_7555467853,902
38,1,EUW1_7555421137,236
39,1,EUW1_7555375760,103
40,1,EUW1_7548453301,147
41,2,EUW1_7553283098,15
42,2,EUW1_7553208120,67
43,2,EUW1_7553133991,96
44,2,EUW1_7553062055,804
45,2,EUW1_7552972344,498
46,2,EUW1_7552908528,145
47,2,EUW1_7528258171,18
48,2,EUW1_7528230243,523
49,2,EUW1_7528202413,81
50,2,EUW1_7522738832,145
51,2,EUW1_7522700708,804
52,2,EUW1_7521695265,15
53,2,EUW1_7521649441,145
54,2,EUW1_7519382234,804
55,2,EUW1_7519266266,222
56,2,EUW1_7519236498,523
57,2,EUW1_7519171921,51
58,2,EUW1_7517734506,80
59,2,EUW1_7517661409,246
60,2,EUW1_7516496211,62
61,2,EUW1_7553283098,15
62,2,EUW1_7553208120,67
63,2,EUW1_7553133991,96
64,2,EUW1_7553062055,804
65,2,EUW1_7552972344,498
66,2,EUW1_7552908528,145
67,2,EUW1_7528258171,18
68,2,EUW1_7528230243,523
69,2,EUW1_7528202413,81
70,2,EUW1_7522738832,145
71,2,EUW1_7522700708,804
72,2,EUW1_7521695265,15
73,2,EUW1_7521649441,145
74,2,EUW1_7519382234,804
75,2,EUW1_7519266266,222
76,2,EUW1_7519236498,523
77,2,EUW1_7519171921,51
78,2,EUW1_7517734506,80
79,2,EUW1_7517661409,246
80,2,EUW1_7516496211,62
81,3,EUW1_7567201402,875
82,3,EUW1_7534632450,29
83,3,EUW1_7532464744,29
84,3,EUW1_7530522516,29
85,3,EUW1_7530486753,145
86,3,EUW1_7530438965,157
87,3,EUW1_7530287278,29
88,3,EUW1_7530259235,29
89,3,EUW1_7530246697,29
90,3,EUW1_7529652378,29
91,3,EUW1_7528993067,29
92,3,EUW1_7528946913,157
93,3,EUW1_7528874728,29
94,3,EUW1_7528813189,29
95,3,EUW1_7528699553,29
96,3,EUW1_7526339829,526
97,3,EUW1_7526309545,526
98,3,EUW1_7526277114,526
99,3,EUW1_7525391659,29
100,3,EUW1_7525344251,29
101,3,EUW1_7567201402,875
102,3,EUW1_7534632450,29
103,3,EUW1_7532464744,29
104,3,EUW1_7530522516,29
105,3,EUW1_7530486753,145
106,3,EUW1_7530438965,157
107,3,EUW1_7530287278,29
108,3,EUW1_7530259235,29
109,3,EUW1_7530246697,29
110,3,EUW1_7529652378,29
111,3,EUW1_7528993067,29
112,3,EUW1_7528946913,157
113,3,EUW1_7528874728,29
114,3,EUW1_7528813189,29
115,3,EUW1_7528699553,29
116,3,EUW1_7526339829,526
117,3,EUW1_7526309545,526
118,3,EUW1_7526277114,526
119,3,EUW1_7525391659,29
120,3,EUW1_7525344251,29
121,4,EUW1_7497430560,11
122,4,EUW1_7497400496,75
123,4,EUW1_7497364016,11
124,4,EUW1_7484350827,75
125,4,EUW1_7484247393,266
126,4,EUW1_7484228486,266
127,4,EUW1_7484212989,266
128,4,EUW1_7484204369,266
129,4,EUW1_7484181885,266
130,4,EUW1_7484119352,27
131,4,EUW1_7483607136,266
132,4,EUW1_7483564664,266
133,4,EUW1_7362590896,11
134,4,EUW1_7362562749,29
135,4,EUW1_7361456267,29
136,4,EUW1_7360395884,29
137,4,EUW1_7360388326,29
138,4,EUW1_7360377078,29
139,4,EUW1_7358464072,29
140,4,EUW1_7358318923,29
141,4,EUW1_7497430560,11
142,4,EUW1_7497400496,75
143,4,EUW1_7497364016,11
144,4,EUW1_7484350827,75
145,4,EUW1_7484247393,266
146,4,EUW1_7484228486,266
147,4,EUW1_7484212989,266
148,4,EUW1_7484204369,266
149,4,EUW1_7484181885,266
150,4,EUW1_7484119352,27
151,4,EUW1_7483607136,266
152,4,EUW1_7483564664,266
153,4,EUW1_7362590896,11
154,4,EUW1_7362562749,29
155,4,EUW1_7361456267,29
156,4,EUW1_7360395884,29
157,4,EUW1_7360388326,29
158,4,EUW1_7360377078,29
159,4,EUW1_7358464072,29
160,4,EUW1_7358318923,29
161,5,EUW1_7551661866,145
162,5,EUW1_7516607562,901
163,5,EUW1_7504612622,236
164,5,EUW1_7492298009,236
165,5,EUW1_7489008091,236
166,5,EUW1_7488407658,236
167,5,EUW1_7475545393,236
168,5,EUW1_7467247264,901
169,5,EUW1_7466679573,236
170,5,EUW1_7461194460,901
171,5,EUW1_7461149089,901
172,5,EUW1_7461114770,110
173,5,EUW1_7460742019,901
174,5,EUW1_7460715698,360
175,5,EUW1_7460667695,236
176,5,EUW1_7460623041,236
177,5,EUW1_7460581341,145
178,5,EUW1_7460533267,202
179,5,EUW1_7460500502,236
180,5,EUW1_7460449043,110
181,5,EUW1_7551661866,145
182,5,EUW1_7516607562,901
183,5,EUW1_7504612622,236
184,5,EUW1_7492298009,236
185,5,EUW1_7489008091,236
186,5,EUW1_7488407658,236
187,5,EUW1_7475545393,236
188,5,EUW1_7467247264,901
189,5,EUW1_7466679573,236
190,5,EUW1_7461194460,901
191,5,EUW1_7461149089,901
192,5,EUW1_7461114770,110
193,5,EUW1_7460742019,901
194,5,EUW1_7460715698,360
195,5,EUW1_7460667695,236
196,5,EUW1_7460623041,236
197,5,EUW1_7460581341,145
198,5,EUW1_7460533267,202
199,5,EUW1_7460500502,236
200,5,EUW1_7460449043,110
201,6,EUW1_7564967294,81
202,6,EUW1_7564950521,35
203,6,EUW1_7564465963,901
204,6,EUW1_7564434738,10
205,6,EUW1_7564403949,26
206,6,EUW1_7564364164,147
207,6,EUW1_7564332041,12
208,6,EUW1_7564297394,92
209,6,EUW1_7564257986,3
210,6,EUW1_7556939547,59
211,6,EUW1_7555467853,134
212,6,EUW1_7544298673,3
213,6,EUW1_7544211909,3
214,6,EUW1_7544154910,517
215,6,EUW1_7544087169,6
216,6,EUW1_7544036831,5
217,6,EUW1_7534306410,145
218,6,EUW1_7534289527,58
219,6,EUW1_7534254369,526
220,6,EUW1_7534241976,32
221,6,EUW1_7564967294,81
222,6,EUW1_7564950521,35
223,6,EUW1_7564465963,901
224,6,EUW1_7564434738,10
225,6,EUW1_7564403949,26
226,6,EUW1_7564364164,147
227,6,EUW1_7564332041,12
228,6,EUW1_7564297394,92
229,6,EUW1_7564257986,3
230,6,EUW1_7556939547,59
231,6,EUW1_7555467853,134
232,6,EUW1_7544298673,3
233,6,EUW1_7544211909,3
234,6,EUW1_7544154910,517
235,6,EUW1_7544087169,6
236,7,EUW1_7546667826,99
237,7,EUW1_7546600314,99
238,7,EUW1_7546525421,99
239,7,EUW1_7546477976,37
240,7,EUW1_7545823578,99
241,7,EUW1_7545776864,40
242,7,EUW1_7545731697,99
243,7,EUW1_7544643845,99
244,7,EUW1_7544551913,40
245,7,EUW1_7544441047,99
246,7,EUW1_7544377133,99
247,7,EUW1_7544330468,37
248,7,EUW1_7543899678,37
249,7,EUW1_7543817061,99
250,7,EUW1_7543760806,40
251,7,EUW1_7535133884,134
252,7,EUW1_7535107527,99
253,7,EUW1_7534982883,99
254,7,EUW1_7534972901,99
255,7,EUW1_7533913919,99
256,7,EUW1_7546667826,99
257,7,EUW1_7546600314,99
258,7,EUW1_7546525421,99
259,7,EUW1_7546477976,37
260,7,EUW1_7545823578,99
261,7,EUW1_7545776864,40
262,7,EUW1_7545731697,99
263,7,EUW1_7544643845,99
264,7,EUW1_7544551913,40
265,7,EUW1_7544441047,99
266,7,EUW1_7544377133,99
267,7,EUW1_7544330468,37
268,7,EUW1_7543899678,37
269,7,EUW1_7543817061,99
270,7,EUW1_7543760806,40
271,7,EUW1_7535133884,134
272,7,EUW1_7535107527,99
273,7,EUW1_7534982883,99
274,7,EUW1_7534972901,99
275,7,EUW1_7533913919,99
276,8,EUW1_7541106938,81
277,8,EUW1_7541058415,45
278,8,EUW1_7540851043,102
279,8,EUW1_7540809687,2
280,8,EUW1_7532564023,16
281,8,EUW1_7532526089,895
282,8,EUW1_7532502230,79
283,8,EUW1_7529937448,61
284,8,EUW1_7529908585,888
285,8,EUW1_7525914829,61
286,8,EUW1_7525895221,497
287,8,EUW1_7525889565,32
288,8,EUW1_7525873556,122
289,8,EUW1_7525860658,223
290,8,EUW1_7523981443,16
291,8,EUW1_7523966787,44
292,8,EUW1_7523921452,143
293,8,EUW1_7523899932,16
294,8,EUW1_7523860703,888
295,8,EUW1_7523833039,119
296,8,EUW1_7541106938,81
297,8,EUW1_7541058415,45
298,8,EUW1_7540851043,102
299,8,EUW1_7540809687,2
300,8,EUW1_7532564023,16
301,8,EUW1_7532526089,895
302,8,EUW1_7532502230,79
303,8,EUW1_7529937448,61
304,8,EUW1_7529908585,888
305,8,EUW1_7525914829,61
306,8,EUW1_7525895221,497
307,8,EUW1_7525889565,32
308,8,EUW1_7525873556,122
309,8,EUW1_7525860658,223
310,8,EUW1_7523981443,16
311,8,EUW1_7523966787,44
312,8,EUW1_7523921452,143
313,8,EUW1_7523899932,16
314,8,EUW1_7523860703,888
315,8,EUW1_7523833039,119
316,9,EUW1_7567334618,122
317,9,EUW1_7567264985,2
318,9,EUW1_7567200880,122
319,9,EUW1_7567073275,24
320,9,EUW1_7567028638,122
321,9,EUW1_7567013655,24
322,9,EUW1_7566897667,799
323,9,EUW1_7566844282,122
324,9,EUW1_7566818141,24
325,9,EUW1_7566743916,14
326,9,EUW1_7566706609,799
327,9,EUW1_7566678732,24
328,9,EUW1_7566643871,126
329,9,EUW1_7566602844,24
330,9,EUW1_7566165621,24
331,9,EUW1_7566097580,24
332,9,EUW1_7566028729,164
333,9,EUW1_7565963452,24
334,9,EUW1_7565907325,24
335,9,EUW1_7564175945,164
336,9,EUW1_7567334618,122
337,9,EUW1_7567264985,2
338,9,EUW1_7567200880,122
339,9,EUW1_7567073275,24
340,9,EUW1_7567028638,122
341,9,EUW1_7567013655,24
342,9,EUW1_7566897667,799
343,9,EUW1_7566844282,122
344,9,EUW1_7566818141,24
345,9,EUW1_7566743916,14
346,9,EUW1_7566706609,799
347,9,EUW1_7566678732,24
348,9,EUW1_7566643871,126
349,9,EUW1_7566602844,24
350,9,EUW1_7566165621,24
351,9,EUW1_7566097580,24
352,9,EUW1_7566028729,164
353,9,EUW1_7565963452,24
354,9,EUW1_7565907325,24
355,9,EUW1_7564175945,164
356,10,EUW1_7567418023,10
357,10,EUW1_7567341322,777
358,10,EUW1_7567314954,12
359,10,EUW1_7567246902,98
360,10,EUW1_7566220796,90
361,10,EUW1_7566165041,15
362,10,EUW1_7565819801,81
363,10,EUW1_7565004624,18
364,10,EUW1_7564951539,98
365,10,EUW1_7564904012,31
366,10,EUW1_7564867649,10
367,10,EUW1_7564817969,36
368,10,EUW1_7562497900,96
369,10,EUW1_7562412152,36
370,10,EUW1_7562320308,497
371,10,EUW1_7561254157,12
372,10,EUW1_7561175736,111
373,10,EUW1_7558918813,86
374,10,EUW1_7558811856,86
375,10,EUW1_7558699322,432
376,10,EUW1_7567418023,10
377,10,EUW1_7567341322,777
378,10,EUW1_7567314954,12
379,10,EUW1_7567246902,98
380,10,EUW1_7566220796,90
381,10,EUW1_7566165041,15
382,10,EUW1_7565819801,81
383,10,EUW1_7565004624,18
384,10,EUW1_7564951539,98
385,10,EUW1_7564904012,31
386,10,EUW1_7564867649,10
387,10,EUW1_7564817969,36
388,10,EUW1_7562497900,96
389,10,EUW1_7562412152,36
390,10,EUW1_7562320308,497
391,10,EUW1_7561254157,12
392,10,EUW1_7561175736,111
393,10,EUW1_7558918813,86
394,10,EUW1_7558811856,86
395,10,EUW1_7558699322,432
396,13,EUW1_7500000013,86
397,13,EUW1_7499982733,86
398,13,EUW1_7499962717,86
399,13,EUW1_7497997355,86
400,13,EUW1_7497946250,86
401,13,EUW1_7496082806,86
402,13,EUW1_7496034323,86
403,13,EUW1_7494977753,86
404,13,EUW1_7494912438,86
405,13,EUW1_7494816685,86
406,13,EUW1_7494780285,86
407,13,EUW1_7494739518,86
408,13,EUW1_7494690257,86
409,13,EUW1_7492932469,86
410,13,EUW1_7492882475,86
411,13,EUW1_7492829653,86
412,13,EUW1_7492233327,86
413,13,EUW1_7489914213,86
414,13,EUW1_7489883797,86
415,13,EUW1_7488787559,86
416,13,EUW1_7500000013,86
417,13,EUW1_7499982733,86
418,13,EUW1_7499962717,86
419,13,EUW1_7497997355,86
420,13,EUW1_7497946250,86
421,13,EUW1_7496082806,86
422,13,EUW1_7496034323,86
423,13,EUW1_7494977753,86
424,13,EUW1_7494912438,86
425,13,EUW1_7494816685,86
426,13,EUW1_7494780285,86
427,13,EUW1_7494739518,86
428,13,EUW1_7494690257,86
429,13,EUW1_7492932469,86
430,13,EUW1_7492882475,86
431,13,EUW1_7492829653,86
432,13,EUW1_7492233327,86
433,13,EUW1_7489914213,86
434,13,EUW1_7489883797,86
435,13,EUW1_7488787559,86
436,14,EUW1_7521447075,105
437,14,EUW1_7520448027,268
438,14,EUW1_7508820975,950
439,14,EUW1_7505777652,136
440,14,EUW1_7505735563,63
441,14,EUW1_7505686520,7
442,14,EUW1_7505639758,268
443,14,EUW1_7505595763,126
444,14,EUW1_7503366218,246
445,14,EUW1_7503338937,246
446,14,EUW1_7494916651,136
447,14,EUW1_7481823313,268
448,14,EUW1_7474537048,136
449,14,EUW1_7471644232,950
450,14,EUW1_7471585875,42
451,14,EUW1_7471537503,950
452,14,EUW1_7456329687,131
453,14,EUW1_7456305216,268
454,14,EUW1_7455855144,950
455,14,EUW1_7454990003,950
456,14,EUW1_7521447075,105
457,14,EUW1_7520448027,268
458,14,EUW1_7508820975,950
459,14,EUW1_7505777652,136
460,14,EUW1_7505735563,63
461,14,EUW1_7505686520,7
462,14,EUW1_7505639758,268
463,14,EUW1_7505595763,126
464,14,EUW1_7503366218,246
465,14,EUW1_7503338937,246
466,14,EUW1_7494916651,136
467,14,EUW1_7481823313,268
468,14,EUW1_7474537048,136
469,14,EUW1_7471644232,950
470,14,EUW1_7471585875,42
471,14,EUW1_7471537503,950
472,14,EUW1_7456329687,131
473,14,EUW1_7456305216,268
474,14,EUW1_7455855144,950
475,14,EUW1_7454990003,950
476,15,EUW1_7566035710,412
477,15,EUW1_7566022078,78
478,15,EUW1_7565953869,25
479,15,EUW1_7565823280,432
480,15,EUW1_7565779948,111
481,15,EUW1_7565733955,201
482,15,EUW1_7565685587,201
483,15,EUW1_7565618357,518
484,15,EUW1_7565454775,89
485,15,EUW1_7565410561,412
486,15,EUW1_7565362476,78
487,15,EUW1_7565316200,518
488,15,EUW1_7565283128,412
489,15,EUW1_7565257481,78
490,15,EUW1_7565231667,111
491,15,EUW1_7563159380,412
492,15,EUW1_7563121265,432
493,15,EUW1_7560755893,78
494,15,EUW1_7560715687,412
495,15,EUW1_7559514722,412
496,15,EUW1_7566035710,412
497,15,EUW1_7566022078,78
498,15,EUW1_7565953869,25
499,15,EUW1_7565823280,432
500,15,EUW1_7565779948,111
501,15,EUW1_7565733955,201
502,15,EUW1_7565685587,201
503,15,EUW1_7565618357,518
504,15,EUW1_7565454775,89
505,15,EUW1_7565410561,412
506,15,EUW1_7565362476,78
507,15,EUW1_7565316200,518
508,15,EUW1_7565283128,412
509,15,EUW1_7565257481,78
510,15,EUW1_7565231667,111
511,15,EUW1_7563159380,412
512,15,EUW1_7563121265,432
513,15,EUW1_7560755893,78
514,15,EUW1_7560715687,412
515,15,EUW1_7559514722,412
516,16,EUW1_7565679395,800
517,16,EUW1_7561946567,50
518,16,EUW1_7561898552,50
519,16,EUW1_7561035396,350
520,16,EUW1_7560981907,101
521,16,EUW1_7560941222,90
522,16,EUW1_7559673645,134
523,16,EUW1_7559629503,101
524,16,EUW1_7555448078,17
525,16,EUW1_7555421371,136
526,16,EUW1_7555389523,63
527,16,EUW1_7555353521,96
528,16,EUW1_7552129135,50
529,16,EUW1_7552118291,350
530,16,EUW1_7549610474,50
531,16,EUW1_7549362289,17
532,16,EUW1_7549331998,50
533,16,EUW1_7549318626,90
534,16,EUW1_7548894962,800
535,16,EUW1_7548841404,101
536,16,EUW1_7565679395,800
537,16,EUW1_7561946567,50
538,16,EUW1_7561898552,50
539,16,EUW1_7561035396,350
540,16,EUW1_7560981907,101
541,16,EUW1_7560941222,90
542,16,EUW1_7559673645,134
543,16,EUW1_7559629503,101
544,16,EUW1_7555448078,17
545,16,EUW1_7555421371,136
546,16,EUW1_7555389523,63
547,16,EUW1_7555353521,96
548,16,EUW1_7552129135,50
549,16,EUW1_7552118291,350
550,16,EUW1_7549610474,50
551,16,EUW1_7549362289,17
552,16,EUW1_7549331998,50
553,16,EUW1_7549318626,90
554,16,EUW1_7548894962,800
555,16,EUW1_7548841404,101
556,18,EUW1_7564756252,145
557,18,EUW1_7564694818,21
558,18,EUW1_7563395238,41
559,18,EUW1_7548268567,21
560,18,EUW1_7548198980,202
561,18,EUW1_7540222627,222
